v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	6.854359245E-2	-6.854359245E-3
-2.142857143E-2	6.854034655E-2	-1.468721712E-3
0.000000000E+0	6.853939336E-2	0.000000000E+0
5.714285714E-2	6.853640419E-2	3.916365954E-3
1.357142857E-1	6.852339478E-2	9.299603578E-3
2.142857143E-1	6.833411558E-2	1.464302477E-2
2.928571429E-1	6.578709440E-2	1.926622050E-2
3.714285714E-1	5.599419342E-2	2.079784327E-2
3.665178571E-1	5.679397619E-2	2.081600645E-2
4.500000000E-1	4.137721728E-2	1.861974778E-2
3.665178571E-1	5.679397619E-2	2.081600645E-2
5.285714286E-1	2.484108775E-2	1.313028924E-2
6.071428571E-1	7.402820675E-3	4.494569696E-3
6.396763393E-1	2.055149739E-5	1.314630662E-5
6.857142857E-1	-1.054198615E-2	-7.228790504E-3
7.642857143E-1	-2.880696771E-2	-2.201675389E-2
8.428571429E-1	-4.729125631E-2	-3.985977318E-2
9.214285714E-1	-6.593461545E-2	-6.075403853E-2
1.000000000E+0	-8.469838014E-2	-8.469838014E-2
