Illumination, Jsc (mA/cm^2), Voc(mV), FF, Efficency
1,34.25,621.9,39.72,8.485
2,58.9,639.7,25.7,4.9
3,62.52,649.6,25.04,3.387
4,64.03,656.7,25.11,2.639
5,64.97,662.1,25.07,2.157
