Illumination, Jsc (mA/cm^2), Voc(mV), FF, Efficency
1,34.25,621.9,72.7,15.48
2,68.55,639.7,64.4,14.12
3,102.9,649.6,56.01,12.48
4,137.3,656.7,48.02,10.82
5,171.8,662.1,41.74,9.49
