v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	3.424499568E-2	-3.424499568E-3
-2.142857143E-2	3.424353608E-2	-7.337900588E-4
0.000000000E+0	3.424312239E-2	0.000000000E+0
5.714285714E-2	3.424198046E-2	1.956684598E-3
1.357142857E-1	3.424026551E-2	4.646893176E-3
2.142857143E-1	3.423751790E-2	7.336610979E-3
2.928571429E-1	3.421624654E-2	1.002047220E-2
3.714285714E-1	3.383619538E-2	1.256772971E-2
4.500000000E-1	2.979157538E-2	1.340620892E-2
4.352678571E-1	3.113788330E-2	1.355331974E-2
5.285714286E-1	1.839058173E-2	9.720736060E-3
4.352678571E-1	3.113788330E-2	1.355331974E-2
6.071428571E-1	3.136057768E-3	1.904035073E-3
6.224888393E-1	-6.169586133E-5	-3.840498511E-5
6.857142857E-1	-1.368077469E-2	-9.381102643E-3
7.642857143E-1	-3.126949540E-2	-2.389882863E-2
8.428571429E-1	-4.930653075E-2	-4.155836163E-2
9.214285714E-1	-6.763340542E-2	-6.231935213E-2
1.000000000E+0	-8.616197266E-2	-8.616197266E-2
