v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	3.424095698E-2	-3.424095698E-3
-2.142857143E-2	3.423891148E-2	-7.336909602E-4
0.000000000E+0	3.423801418E-2	0.000000000E+0
5.714285714E-2	3.423100285E-2	1.956057305E-3
1.357142857E-1	3.411017233E-2	4.629237673E-3
2.142857143E-1	3.271345678E-2	7.010026452E-3
2.928571429E-1	2.835608103E-2	8.304280873E-3
2.879464286E-1	2.869385439E-2	8.262292895E-3
3.714285714E-1	2.232860508E-2	8.293481887E-3
2.879464286E-1	2.869385439E-2	8.262292895E-3
4.500000000E-1	1.563070270E-2	7.033816216E-3
5.285714286E-1	8.607099017E-3	4.549466623E-3
6.071428571E-1	1.396476442E-3	8.478606970E-4
6.224888393E-1	-2.729891940E-5	-1.699327265E-5
6.857142857E-1	-5.934119748E-3	-4.069110684E-3
7.642857143E-1	-1.334773761E-2	-1.020148517E-2
8.428571429E-1	-2.082201909E-2	-1.754998752E-2
9.214285714E-1	-2.834247135E-2	-2.611556289E-2
1.000000000E+0	-3.589919174E-2	-3.589919174E-2
