v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	1.670360031E-1	-1.670360031E-2
-2.142857143E-2	1.554413616E-1	-3.330886321E-3
0.000000000E+0	1.514938073E-1	0.000000000E+0
5.714285714E-2	1.401138026E-1	8.006503003E-3
1.357142857E-1	1.232652706E-1	1.672885815E-2
2.142857143E-1	1.056603240E-1	2.264149801E-2
2.928571429E-1	8.761412572E-2	2.565842253E-2
3.714285714E-1	6.928181177E-2	2.573324437E-2
3.370535714E-1	7.733082552E-2	2.606463092E-2
4.500000000E-1	5.074997746E-2	2.283748986E-2
3.370535714E-1	7.733082552E-2	2.606463092E-2
5.285714286E-1	3.207150463E-2	1.695208102E-2
6.071428571E-1	1.328091282E-2	8.063411355E-3
6.630022321E-1	-1.328822022E-4	-8.810119670E-5
6.857142857E-1	-5.598081992E-3	-3.838684795E-3
7.642857143E-1	-2.454851410E-2	-1.876207864E-2
8.428571429E-1	-4.355784350E-2	-3.671303952E-2
9.214285714E-1	-6.261654799E-2	-5.769667636E-2
1.000000000E+0	-8.171723169E-2	-8.171723169E-2
