Illumination, Jsc (mA/cm^2), Voc(mV), FF, Efficency
1,34.24,622.3,46.52,9.911
2,67.19,639.5,27.63,5.936
3,76.74,649.6,25.45,4.229
4,79.27,656.6,25.19,3.277
5,80.68,662.1,25.09,2.681
