v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	3.424239062E-2	-3.424239062E-3
-2.142857143E-2	3.424073266E-2	-7.337299856E-4
0.000000000E+0	3.424023559E-2	0.000000000E+0
5.714285714E-2	3.423852973E-2	1.956487413E-3
1.357142857E-1	3.422774668E-2	4.645194193E-3
2.142857143E-1	3.405170515E-2	7.296793961E-3
2.928571429E-1	3.212631114E-2	9.408419691E-3
3.714285714E-1	2.650879557E-2	9.846124069E-3
3.566964286E-1	2.777198135E-2	9.906166560E-3
4.500000000E-1	1.890874913E-2	8.508937110E-3
3.566964286E-1	2.777198135E-2	9.906166560E-3
5.285714286E-1	1.050797390E-2	5.554214778E-3
6.071428571E-1	1.713900771E-3	1.040582611E-3
6.224888393E-1	-3.353000376E-5	-2.087205312E-5
6.857142857E-1	-7.307682159E-3	-5.010982052E-3
7.642857143E-1	-1.647594015E-2	-1.259232569E-2
8.428571429E-1	-2.574605364E-2	-2.170024521E-2
9.214285714E-1	-3.509078596E-2	-3.233365278E-2
1.000000000E+0	-4.449242395E-2	-4.449242395E-2
