v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	3.424372829E-2	-3.424372829E-3
-2.142857143E-2	3.424218659E-2	-7.337611413E-4
0.000000000E+0	3.424174600E-2	0.000000000E+0
5.714285714E-2	3.424050272E-2	1.956600155E-3
1.357142857E-1	3.423807619E-2	4.646596054E-3
2.142857143E-1	3.422305744E-2	7.333512309E-3
2.928571429E-1	3.396545188E-2	9.947025194E-3
3.714285714E-1	3.124564785E-2	1.160552634E-2
3.665178571E-1	3.156943162E-2	1.157076043E-2
4.500000000E-1	2.362187349E-2	1.062984307E-2
3.665178571E-1	3.156943162E-2	1.157076043E-2
5.285714286E-1	1.343873106E-2	7.103329273E-3
6.071428571E-1	2.217332225E-3	1.346237422E-3
6.224888393E-1	-4.344719664E-5	-2.704539501E-5
6.857142857E-1	-9.517456415E-3	-6.526255828E-3
7.642857143E-1	-2.155056541E-2	-1.647078928E-2
8.428571429E-1	-3.377658852E-2	-2.846883889E-2
9.214285714E-1	-4.613686917E-2	-4.251182945E-2
1.000000000E+0	-5.859566748E-2	-5.859566748E-2
