v [V] ,j [A/cm^2] ,p [W/cm^2] 
-1.000000000E-1,3.424735832E-2,-3.424735832E-3
-2.142857143E-2,3.424602916E-2,-7.338434820E-4
0.000000000E+0,3.424565473E-2,0.000000000E+0
5.714285714E-2,3.424462911E-2,1.956835949E-3
1.357142857E-1,3.424314688E-2,4.647284220E-3
2.142857143E-1,3.424156114E-2,7.337477388E-3
2.928571429E-1,3.423975850E-2,1.002735785E-2
3.714285714E-1,3.423586907E-2,1.271617994E-2
4.500000000E-1,3.419160751E-2,1.538622338E-2
5.285714286E-1,3.330884953E-2,1.760610618E-2
5.236607143E-1,3.346892845E-2,1.752636298E-2
6.071428571E-1,1.502295952E-2,9.121082568E-3
5.236607143E-1,3.346892845E-2,1.752636298E-2
6.224888393E-1,-3.872989090E-4,-2.410892483E-4
6.857142857E-1,-3.302599711E-1,-2.264639802E-1
7.642857143E-1,-3.789058198E+0,-2.895923051E+0
8.428571429E-1,-1.666995531E+1,-1.405039090E+1
9.214285714E-1,-4.303470946E+1,-3.965341086E+1
1.000000000E+0,-8.415425915E+1,-8.415425915E+1
