v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	1.028941816E-1	-1.028941816E-2
-2.142857143E-2	1.028842410E-1	-2.204662308E-3
0.000000000E+0	1.028766996E-1	0.000000000E+0
5.714285714E-2	1.027881599E-1	5.873609139E-3
1.357142857E-1	1.013083580E-1	1.374899145E-2
2.142857143E-1	9.334495870E-2	2.000249115E-2
2.928571429E-1	7.952304100E-2	2.328889058E-2
3.714285714E-1	6.331895923E-2	2.351847057E-2
3.468750000E-1	6.853334802E-2	2.377250510E-2
4.500000000E-1	4.605133211E-2	2.072309945E-2
3.468750000E-1	6.853334802E-2	2.377250510E-2
5.285714286E-1	2.820825231E-2	1.491007622E-2
6.071428571E-1	1.001024638E-2	6.077649586E-3
6.494977679E-1	9.615260918E-5	6.245090503E-5
6.857142857E-1	-8.426780894E-3	-5.778364042E-3
7.642857143E-1	-2.703505567E-2	-2.066250683E-2
8.428571429E-1	-4.577175213E-2	-3.857904823E-2
9.214285714E-1	-6.460817827E-2	-5.953182140E-2
1.000000000E+0	-8.352421522E-2	-8.352421522E-2
