v [V] ,j [A/cm^2] ,p [W/cm^2] 
-1.000000000E-1,1.718171422E-1,-1.718171422E-2
-4.285714286E-2,1.718126402E-1,-7.363398866E-3
0.000000000E+0,1.718091528E-1,0.000000000E+0
1.428571429E-2,1.718079680E-1,2.454399543E-3
7.142857143E-2,1.718031090E-1,1.227165064E-2
1.285714286E-1,1.717980397E-1,2.208831939E-2
1.857142857E-1,1.717927272E-1,3.190436363E-2
2.428571429E-1,1.717871177E-1,4.171972859E-2
3.000000000E-1,1.717810503E-1,5.153431508E-2
3.571428571E-1,1.717734963E-1,6.134767724E-2
4.142857143E-1,1.717556794E-1,7.115592431E-2
4.714285714E-1,1.716484389E-1,8.091997832E-2
5.285714286E-1,1.707315736E-1,9.024383175E-2
5.857142857E-1,1.624638025E-1,9.515737003E-2
5.821428571E-1,1.636585036E-1,9.527262889E-2
6.428571429E-1,8.904995681E-2,5.724640081E-2
5.821428571E-1,1.636585036E-1,9.527262889E-2
6.620535714E-1,2.486130010E-3,1.645951252E-3
7.000000000E-1,-4.725638634E-1,-3.307947044E-1
