Illumination, Jsc (mA/cm^2), Voc(mV), FF, Efficency
1,34.24,622.3,63.62,13.56
2,68.54,639.5,47.32,10.37
3,102.9,649.6,35.6,7.93
4,135.6,656.6,28.29,6.297
5,151.5,662.1,25.98,5.211
